,Portfolio_Value,Daily_Return
2023-08-24,160287.03115107727,-0.015291213709022535
2023-08-25,160144.27792986293,-0.0008906099276352773
2023-08-28,161644.91239862525,0.009370515688481285
2023-08-29,165281.4551369044,0.022497106059925144
2023-08-30,165674.52165848805,0.002378164696445073
2023-08-31,166267.18932828322,0.003577301228108154
2023-09-01,165168.2730951297,-0.006609339086040555
2023-09-05,165219.94962702206,0.0003128720239303775
2023-09-06,163432.11931723147,-0.010820910633531544
2023-09-07,163916.11823801632,0.00296146756712734
2023-09-08,163693.86839044996,-0.001355875492632408
2023-09-11,166250.66287628218,0.015619366265654168
2023-09-12,164445.28840673668,-0.010859352006848866
2023-09-13,166702.8416924583,0.013728294118940144
2023-09-14,168097.7752690027,0.008367785230187375
2023-09-15,164193.14054140032,-0.02322835457729224
2023-09-18,164501.1523171074,0.001875911348619308
2023-09-19,163654.22464154163,-0.005148460443201919
2023-09-20,160546.38097106325,-0.018990305183294788
2023-09-21,156448.44432332093,-0.02552493941598693
2023-09-22,157139.2491114652,0.004415542712055509
2023-09-25,158347.65190787692,0.007690012541389747
2023-09-26,155698.93302739778,-0.01672723812804053
2023-09-27,155930.3579498251,0.0014863616463356654
2023-09-28,157447.86367191147,0.009731945350722882
2023-09-29,157287.7127654587,-0.0010171678593650533
2023-10-02,160232.81985970685,0.018724330352745098
2023-10-03,156875.47596683374,-0.02095291024530843
2023-10-04,159205.64426323186,0.014853617380519024
2023-10-05,159519.51588911485,0.001971485542083018
2023-10-06,162970.05330181916,0.02163081672779685
2023-10-09,163475.39747577804,0.0031008406987693914
2023-10-10,164328.29595486063,0.005217289526449798
2023-10-11,167111.34766358952,0.016935925079472548
2023-10-12,166757.66041742446,-0.002116476535615419
2023-10-13,163359.20206286627,-0.02037962361699741
2023-10-16,165570.43345900904,0.013536007572391286
2023-10-17,163901.6207657529,-0.010079170890552259
2023-10-18,160402.62764176656,-0.021348130101697137
2023-10-19,159858.81144191042,-0.0033903197712612967
2023-10-20,157117.99817906957,-0.017145212316537362
